id,longitude,latitude
90,611118.658, 6875876.814
91,611122.277, 6875876.106
92,611125.923, 6875875.928
93,611129.569, 6875875.75
94,611133.2143, 6875875.5716
95,611136.86, 6875875.3932
96,611140.5056, 6875875.2149
97,611144.1513, 6875875.0366
98,611147.7969, 6875874.8583
99,611151.4426, 6875874.68
100,611155.0882, 6875874.5017
101,611158.7338, 6875874.3234
102,611162.3795, 6875874.1451
103,611166.0251, 6875873.9668
104,611169.6708, 6875873.7885
105,611173.3164, 6875873.6102
106,611176.962, 6875873.432
107,611180.608, 6875873.254
108,611184.253, 6875873.075
109,611187.925, 6875873.426
110,611183.2426, 6875702.9716
111,611186.8883, 6875702.7933
112,611190.5339, 6875702.615
113,611194.1795, 6875702.4367
114,611197.825, 6875702.258
115,611201.471, 6875702.08
116,611205.116, 6875701.902
117,611208.788, 6875702.253
118,611117.645, 6875706.68
119,611121.251, 6875705.685
120,611124.938, 6875706.344
121,611128.53, 6875705.073
122,611132.176, 6875704.895
123,611135.821, 6875704.716
124,611139.451, 6875704.22
125,611143.097, 6875704.042
126,611146.743, 6875703.864
127,611150.388, 6875703.685
128,611154.034, 6875703.507
129,611157.68, 6875703.329
130,611161.325, 6875703.15
131,611164.971, 6875702.972
132,611168.616, 6875702.794
133,611172.262, 6875702.616
134,611175.908, 6875702.437
135,611179.553, 6875702.259
136,611363.417, 6876059.637
137,611366.901, 6876059.578
138,611370.381, 6876059.516
139,611373.86, 6876059.455
140,611377.332, 6876058.984
141,611380.812, 6876058.922
142,611384.291, 6876058.861
143,611387.771, 6876058.799
144,611391.25, 6876058.738
145,611394.73, 6876058.676
146,611398.209, 6876058.615
147,611401.689, 6876058.553
148,611405.168, 6876058.491
149,611408.647, 6876058.43
150,611412.127, 6876058.368
151,611415.606, 6876058.307
152,611419.211, 6876072.32
153,611422.69, 6876072.259
154,611426.17, 6876072.197
155,611429.649, 6876072.136
156,611433.121, 6876071.665
157,611436.601, 6876071.604
158,611440.087, 6876072.044
159,611443.567, 6876071.982
160,611447.046, 6876071.921
161,611450.526, 6876071.859
162,611454.005, 6876071.797
163,611457.485, 6876071.736
164,611460.971, 6876072.179
165,611464.451, 6876072.118
166,611467.93, 6876072.056
167,611471.41, 6876071.995
168,611474.889, 6876071.933
169,611478.368, 6876071.871
170,611481.855, 6876072.315
171,611485.335, 6876072.253
172,611488.814, 6876072.192
173,611492.293, 6876072.13
174,611495.773, 6876072.069
175,611499.252, 6876072.007
176,611502.739, 6876072.451
177,611506.218, 6876072.389
178,611509.698, 6876072.327
179,611513.177, 6876072.266
180,611516.657, 6876072.204
181,611520.136, 6876072.143
182,611523.623, 6876072.596
183,611527.102, 6876072.534
184,611530.589, 6876072.882
185,611534.068, 6876072.82
186,611537.548, 6876072.759
187,611541.027, 6876072.697
188,611396.601, 6875939.79
189,611400.096, 6875939.607
190,611403.592, 6875939.423
191,611407.087, 6875939.24
192,611410.532, 6875938.025
193,611414.027, 6875937.842
194,611417.522, 6875937.659
195,611421.017, 6875937.475
196,611424.512, 6875937.292
197,611428.008, 6875937.109
198,611431.707, 6875941.106
199,611435.177, 6875940.395
200,611438.672, 6875940.213
201,611442.167, 6875940.031
202,611445.656, 6875939.719
203,611449.151, 6875939.538
204,611452.647, 6875939.356
205,611456.142, 6875939.174
206,611459.644, 6875939.122
207,611463.139, 6875938.94
208,611466.634, 6875938.758
209,611470.155, 6875939.106
210,611473.122, 6875928.108
211,611476.617, 6875927.926
212,611480.113, 6875927.755
213,611483.608, 6875927.584
214,611487.104, 6875927.402
215,611490.599, 6875927.221
216,611494.096, 6875927.071
217,611497.591, 6875926.889
218,611501.086, 6875926.708
219,611504.582, 6875926.526
220,611508.077, 6875926.344
221,611511.572, 6875926.162
222,611515.067, 6875925.98
223,611518.563, 6875925.798
224,611522.058, 6875925.617
225,611525.571, 6875925.789
226,611529.066, 6875925.607
227,611573.936, 6876030.494
228,611580.349, 6876086.898
229,611583.968, 6876086.19
230,611587.614, 6876086.012
231,611591.26, 6876085.834
232,611594.899, 6876085.525
233,611598.545, 6876085.347
234,611602.19, 6876085.169
235,611605.836, 6876084.991
236,611609.481, 6876084.812
237,611613.127, 6876084.634
238,611616.773, 6876084.456
239,611620.418, 6876084.277
240,611624.064, 6876084.099
241,611627.71, 6876083.921
242,611631.355, 6876083.742
243,611635.001, 6876083.564
244,611638.647, 6876083.386
245,611642.292, 6876083.208
246,611645.938, 6876083.029
247,611649.584, 6876082.851
248,611653.229, 6876082.673
249,611656.875, 6876082.494
250,611660.52, 6876082.316
251,611664.166, 6876082.138
252,611667.812, 6876081.959
253,611671.457, 6876081.781
254,611675.103, 6876081.603
255,611678.749, 6876081.425
256,611682.394, 6876081.246
257,611686.04, 6876081.068
258,611689.686, 6876080.89
259,611693.338, 6876080.841
